Time,GMSL,GMSL uncertainty
1880-01-15,-183.0,24.2
1880-02-15,-171.1,24.2
1880-03-15,-164.3,24.2
1880-04-15,-158.2,24.2
1880-05-15,-158.7,24.2
1880-06-15,-159.6,24.2
1880-07-15,-159.6,24.2
1880-08-15,-161.8,24.2
1880-09-15,-158.9,24.2
1880-10-15,-150.3,24.2
1880-11-15,-144.5,24.2
1880-12-15,-134.7,24.2
1881-01-15,-136.4,24.2
1881-02-15,-139.2,24.2
1881-03-15,-145.2,24.2
1881-04-15,-151.1,24.2
1881-05-15,-152.2,24.2
1881-06-15,-154.2,24.2
1881-07-15,-147.7,24.2
1881-08-15,-151.4,24.2
1881-09-15,-156.0,24.2
1881-10-15,-165.5,24.2
1881-11-15,-167.9,24.2
1881-12-15,-169.9,24.2
1882-01-15,-167.8,24.2
1882-02-15,-162.0,22.9
1882-03-15,-158.8,22.9
1882-04-15,-160.6,22.9
1882-05-15,-164.5,22.9
1882-06-15,-165.2,22.9
1882-07-15,-167.3,22.9
1882-08-15,-169.0,22.9
1882-09-15,-174.9,22.9
1882-10-15,-181.5,22.9
1882-11-15,-182.5,22.9
1882-12-15,-184.5,22.9
1883-01-15,-179.9,22.8
1883-02-15,-180.0,22.8
1883-03-15,-172.4,22.8
1883-04-15,-172.3,22.8
1883-05-15,-164.0,22.8
1883-06-15,-163.6,22.8
1883-07-15,-161.1,22.8
1883-08-15,-162.0,22.8
1883-09-15,-159.3,22.8
1883-10-15,-158.2,22.8
1883-11-15,-153.2,22.8
1883-12-15,-149.1,22.8
1884-01-15,-142.5,22.2
1884-02-15,-139.5,22.2
1884-03-15,-137.0,22.2
1884-04-15,-135.2,22.2
1884-05-15,-136.0,22.2
1884-06-15,-140.0,22.2
1884-07-15,-143.3,22.2
1884-08-15,-146.8,22.2
1884-09-15,-150.4,22.2
1884-10-15,-150.4,22.2
1884-11-15,-154.0,22.2
1884-12-15,-149.9,22.2
1885-01-15,-153.1,22.2
1885-02-15,-148.3,21.9
1885-03-15,-145.3,21.9
1885-04-15,-142.7,21.9
1885-05-15,-143.1,21.9
1885-06-15,-142.7,21.9
1885-07-15,-148.4,21.9
1885-08-15,-143.2,21.9
1885-09-15,-146.5,21.9
1885-10-15,-141.2,21.9
1885-11-15,-143.3,21.9
1885-12-15,-145.1,21.9
1886-01-15,-147.3,20.8
1886-02-15,-152.2,20.8
1886-03-15,-146.8,20.8
1886-04-15,-142.0,20.8
1886-05-15,-134.7,20.8
1886-06-15,-135.4,20.8
1886-07-15,-140.8,20.8
1886-08-15,-147.7,20.8
1886-09-15,-155.1,20.8
1886-10-15,-155.2,20.8
1886-11-15,-157.9,20.8
1886-12-15,-155.8,20.8
1887-01-15,-162.2,20.7
1887-02-15,-165.8,20.7
1887-03-15,-162.9,20.8
1887-04-15,-158.8,20.8
1887-05-15,-151.9,20.8
1887-06-15,-147.1,20.8
1887-07-15,-147.3,20.8
1887-08-15,-147.5,20.8
1887-09-15,-150.6,20.8
1887-10-15,-147.5,20.8
1887-11-15,-148.8,20.8
1887-12-15,-148.0,20.8
1888-01-15,-155.3,20.8
1888-02-15,-155.6,20.8
1888-03-15,-155.0,20.8
1888-04-15,-155.2,20.8
1888-05-15,-154.2,20.8
1888-06-15,-151.6,20.8
1888-07-15,-149.0,20.8
1888-08-15,-148.5,20.8
1888-09-15,-151.5,20.8
1888-10-15,-145.0,20.8
1888-11-15,-146.0,20.8
1888-12-15,-146.0,20.8
1889-01-15,-151.1,20.8
1889-02-15,-147.4,20.8
1889-03-15,-144.3,20.7
1889-04-15,-145.0,20.7
1889-05-15,-145.9,20.7
1889-06-15,-145.8,20.7
1889-07-15,-147.0,20.7
1889-08-15,-147.6,20.7
1889-09-15,-151.3,20.7
1889-10-15,-153.8,20.7
1889-11-15,-157.6,20.7
1889-12-15,-157.2,20.7
1890-01-15,-152.3,20.7
1890-02-15,-151.4,20.7
1890-03-15,-140.0,20.7
1890-04-15,-138.1,20.7
1890-05-15,-135.3,20.7
1890-06-15,-140.2,20.7
1890-07-15,-144.2,20.7
1890-08-15,-147.8,20.7
1890-09-15,-149.4,20.7
1890-10-15,-151.8,20.7
1890-11-15,-155.9,20.7
1890-12-15,-163.9,20.7
1891-01-15,-162.9,20.7
1891-02-15,-163.9,20.7
1891-03-15,-148.1,20.7
1891-04-15,-150.8,20.7
1891-05-15,-145.4,20.7
1891-06-15,-148.4,20.7
1891-07-15,-143.8,20.7
1891-08-15,-142.2,20.7
1891-09-15,-143.2,20.7
1891-10-15,-144.5,20.7
1891-11-15,-148.2,20.7
1891-12-15,-148.8,20.7
1892-01-15,-145.8,20.7
1892-02-15,-139.3,20.7
1892-03-15,-139.8,20.7
1892-04-15,-138.6,20.7
1892-05-15,-143.1,20.7
1892-06-15,-141.6,20.7
1892-07-15,-145.8,20.7
1892-08-15,-146.6,20.7
1892-09-15,-151.7,20.7
1892-10-15,-151.5,20.7
1892-11-15,-156.3,20.7
1892-12-15,-152.4,20.7
1893-01-15,-147.5,20.2
1893-02-15,-143.8,20.2
1893-03-15,-136.7,20.2
1893-04-15,-137.9,20.2
1893-05-15,-139.2,20.2
1893-06-15,-140.5,20.2
1893-07-15,-140.7,20.2
1893-08-15,-139.0,20.2
1893-09-15,-139.0,20.2
1893-10-15,-140.6,20.2
1893-11-15,-145.1,20.2
1893-12-15,-145.6,21.6
1894-01-15,-148.4,21.6
1894-02-15,-147.5,21.6
1894-03-15,-149.9,21.6
1894-04-15,-148.9,21.6
1894-05-15,-152.1,21.6
1894-06-15,-152.7,21.6
1894-07-15,-154.5,21.6
1894-08-15,-154.7,21.6
1894-09-15,-157.6,21.6
1894-10-15,-153.3,21.6
1894-11-15,-151.4,21.6
1894-12-15,-140.8,21.6
1895-01-15,-138.9,21.6
1895-02-15,-134.9,21.6
1895-03-15,-140.0,21.6
1895-04-15,-141.4,21.6
1895-05-15,-148.0,21.6
1895-06-15,-142.3,21.6
1895-07-15,-141.0,21.6
1895-08-15,-137.4,21.6
1895-09-15,-139.4,21.6
1895-10-15,-132.3,21.6
1895-11-15,-135.8,21.6
1895-12-15,-138.8,21.6
