Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,SO-50 Activation,436.815,split,145.85,Tone,74.4,74.4,23,NN,FM,5,,,,,
2,SO-50 +4,436.815,split,145.85,Tone,67,67,23,NN,FM,5,,,,,
3,SO-50 +3,436.81,split,145.85,Tone,67,67,23,NN,FM,5,,,,,
4,SO-50 +2,436.805,split,145.85,Tone,67,67,23,NN,FM,5,,,,,
5,SO-50 +1,436.8,split,145.85,Tone,67,67,23,NN,FM,5,,,,,
6,SO-50 M,436.795,split,145.85,Tone,67,67,23,NN,FM,5,,,,,
7,SO-50 -1,436.79,split,145.85,Tone,67,67,23,NN,FM,5,,,,,
8,SO-50 -2,436.785,split,145.85,Tone,67,67,23,NN,FM,5,,,,,
9,SO-50 -3,436.78,split,145.85,Tone,67,67,23,NN,FM,5,,,,,
10,SO-50 -4,436.775,split,145.85,Tone,67,67,23,NN,FM,5,,,,,
11,HO-68 +3,435.69,split,145.825,Tone,67,67,23,NN,FM,5,,,,,
12,HO-68 +2,435.685,split,145.825,Tone,67,67,23,NN,FM,5,,,,,
13,HO-68 +1,435.68,split,145.825,Tone,67,67,23,NN,FM,5,,,,,
14,HO-68 M,435.675,split,145.825,Tone,67,67,23,NN,FM,5,,,,,
15,HO-68 -1,435.67,split,145.825,Tone,67,67,23,NN,FM,5,,,,,
16,HO-68 -2,435.665,split,145.825,Tone,67,67,23,NN,FM,5,,,,,
17,HO-68 -3,435.66,split,145.825,Tone,67,67,23,NN,FM,5,,,,,
18,ISS Ground,143.625,,0,,88.5,88.5,23,NN,FM,5,,,,,
19,ISS Amateur VHF,145.8,-,0.6,,88.5,88.5,23,NN,FM,5,,,,,
20,ISS Packet VHF,145.825,,0,,88.5,88.5,23,NN,FM,5,,,,,
21,ISS Packet UHF,437.55,,0,,88.5,88.5,23,NN,FM,5,,,,,
22,ISS +3,145.8,split,437.815,,88.5,88.5,23,NN,FM,5,,,,,
23,ISS +2,145.8,split,437.81,,88.5,88.5,23,NN,FM,5,,,,,
24,ISS +1,145.8,split,437.805,,88.5,88.5,23,NN,FM,5,,,,,
25,ISS M,145.8,split,437.8,,88.5,88.5,23,NN,FM,5,,,,,
26,ISS -1,145.8,split,437.795,,88.5,88.5,23,NN,FM,5,,,,,
27,ISS -2,145.8,split,437.79,,88.5,88.5,23,NN,FM,5,,,,,
28,ISS -3,145.8,split,437.785,,88.5,88.5,23,NN,FM,5,,,,,
29,Duchifat-1 APRS,145.98,split,435.22,,88.5,88.5,23,NN,FM,5,,,,,
30,Duchifat-1 APRS,145.825,split,435.22,,88.5,88.5,23,NN,FM,5,,,,,
31,LilacSat-2  +2,437.21,split,144.35,,88.5,88.5,23,NN,FM,5,,,,,
32,LilacSat-2  +1,437.205,split,144.35,,88.5,88.5,23,NN,FM,5,,,,,
33,LilacSat-2  M,437.2,split,144.35,,88.5,88.5,23,NN,FM,5,,,,,
34,LilacSat-2 -1,437.195,split,144.35,,88.5,88.5,23,NN,FM,5,,,,,
35,LilacSat-2 -2,437.19,split,144.35,,88.5,88.5,23,NN,FM,5,,,,,
36,AO85 +2,145.98,split,435.19,Tone,67,67,23,NN,FM,5,,,,,
37,AO85 +1,145.98,split,435.185,Tone,67,67,23,NN,FM,5,,,,,
38,AO-85 M,145.98,split,435.18,Tone,67,67,23,NN,FM,5,,,,,
39,AO85 -1,145.98,split,435.175,Tone,67,67,23,NN,FM,5,,,,,
40,AO85 -2,145.98,split,435.17,Tone,67,67,23,NN,FM,5,,,,,
41,BY70-1 +2,436.21,split,145.92,Tone,67,67,23,NN,FM,5,,,,,
42,BY70-1 +1,436.205,split,145.92,Tone,67,67,23,NN,FM,5,,,,,
43,BY70-1 M,436.2,split,145.92,Tone,67,67,23,NN,FM,5,,,,,
44,BY70-1 -1,436.195,split,145.92,Tone,67,67,23,NN,FM,5,,,,,
45,BY70-1 -2,436.19,split,145.92,Tone,67,67,23,NN,FM,5,,,,,
46,AO-7 HF Beacon,29.502,,0,,88.5,88.5,23,NN,CW,5,,,,,
47,AO-7 VHF Beacon,145.975,,0,,88.5,88.5,23,NN,CW,5,,,,,
48,FO-29 Beacon,435.795,,0,,88.5,88.5,23,NN,CW,5,,,,,
49,XW-2A Beacon,145.66,,0,,88.5,88.5,23,NN,CW,5,,,,,
50,XW-2B Beacon,145.725,,0,,88.5,88.5,23,NN,CW,5,,,,,
51,XW-2C Beacon,145.79,,0,,88.5,88.5,23,NN,CW,5,,,,,
52,XW-2D Beacon,145.885,,0,,88.5,88.5,23,NN,CW,5,,,,,
53,XW-2F Beacon,145.975,,0,,88.5,88.5,23,NN,CW,5,,,,,
54,UKube-1 Beacon,145.84,,0,,88.5,88.5,23,NN,CW,5,,,,,
55,LO-87 Beacon,145.9,,0,,88.5,88.5,23,NN,CW,5,,,,,
